337,Automobile,2,2,,,,,,,,,,,,,
338,Textile,2,1,,,,,,,,,,,,,
339,MAintenance,3,3,,,,,,,,,,,,,
340,Tourisme,2,3,,,,,,,,,,,,,
341,BTP,2,1,,,,,,,,,,,,,
342,Santé,3,5,,,,,,,,,,,,,
343,BTP,0,5,,,,,,,,,,,,,
344,Logistique,2,4,,,,,,,,,,,,,
345,Éducation,2,3,,,,,,,,,,,,,
346,Immobilier,2,5,,,,,,,,,,,,,
347,BTP,3,1,,,,,,,,,,,,,
348,BTP,3,1,,,,,,,,,,,,,
349,BTP,2,1,,,,,,,,,,,,,
350,BTP,2,1,,,,,,,,,,,,,
351,BTP,2,1,,,,,,,,,,,,,
352,BTP,2,1,,,,,,,,,,,,,
353,Informatique,2,6,,,,,,,,,,,,,
354,Logistique,0,1,,,,,,,,,,,,,
355,Aéroportuaire,2,1,,,,,,,,,,,,,
356,Industrie,0,1,,,,,,,,,,,,,
357,BTP,2,1,,,,,,,,,,,,,
358,BTP,3,1,,,,,,,,,,,,,
359,BTP,0,1,,,,,,,,,,,,,
360,BTP,3,1,,,,,,,,,,,,,
361,BTP,2,1,,,,,,,,,,,,,
362,BTP,2,6,,,,,,,,,,,,,
363,Finance,0,3,,,,,,,,,,,,,
364,Informatique,3,4,,,,,,,,,,,,,
365,Production,2,3,,,,,,,,,,,,,
366,Informatique,2,3,,,,,,,,,,,,,
367,Production,3,4,,,,,,,,,,,,,
368,Immobilier,2,3,,,,,,,,,,,,,
369,Immobilier,2,3,,,,,,,,,,,,,
370,Tourisme,2,3,,,,,,,,,,,,,
371,Finance,0,3,,,,,,,,,,,,,
372,Agroalimentaire,3,6,,,,,,,,,,,,,
373,Distibution,2,4,,,,,,,,,,,,,
374,Audit,2,4,,,,,,,,,,,,,
375,Immobilier,2,3,,,,,,,,,,,,,
376,BTP,3,1,,,,,,,,,,,,,
377,BTP,3,1,,,,,,,,,,,,,
378,Production,0,6,,,,,,,,,,,,,
379,BTP,0,1,,,,,,,,,,,,,
380,Finance,2,4,,,,,,,,,,,,,
381,Éducation,4,6,,,,,,,,,,,,,
382,Audit,2,4,,,,,,,,,,,,,
383,Tourisme,2,3,,,,,,,,,,,,,
384,Tourisme,2,3,,,,,,,,,,,,,
385,Tourisme,2,3,,,,,,,,,,,,,
386,Agroalimentaire,2,3,,,,,,,,,,,,,
387,Centre d'Appel,2,6,,,,,,,,,,,,,
388,Informatique,2,4,,,,,,,,,,,,,
389,Autres Services,0,4,,,,,,,,,,,,,
390,Aéroportuaire,0,4,,,,,,,,,,,,,
391,Production,2,1,,,,,,,,,,,,,
392,Finance,2,3,,,,,,,,,,,,,
393,Autres Services,2,5,,,,,,,,,,,,,
394,Logistique,0,3,,,,,,,,,,,,,
395,évenementiel,0,3,,,,,,,,,,,,,
396,Immobilier,2,6,,,,,,,,,,,,,
397,Aéroportuaire,2,6,,,,,,,,,,,,,
398,Autres Services,0,3,,,,,,,,,,,,,
399,Finance,2,6,,,,,,,,,,,,,
400,Logistique,3,4,,,,,,,,,,,,,
401,Autres Services,2,3,,,,,,,,,,,,,
402,Autres Services,2,3,,,,,,,,,,,,,
403,Agroalimentaire,3,4,,,,,,,,,,,,,
404,Autres Services,2,3,,,,,,,,,,,,,
405,Informatique,2,6,,,,,,,,,,,,,
406,BTP,2,3,,,,,,,,,,,,,
407,Informatique,2,6,,,,,,,,,,,,,
408,Énergie,0,3,,,,,,,,,,,,,
409,Finance,0,3,,,,,,,,,,,,,
410,Autres Services,2,3,,,,,,,,,,,,,
411,Autres Services,2,3,,,,,,,,,,,,,
412,Autres Services,2,3,,,,,,,,,,,,,
413,Autres Services,2,3,,,,,,,,,,,,,
414,Autres Services,2,3,,,,,,,,,,,,,
415,Autres Services,2,3,,,,,,,,,,,,,
416,Centre d'Appel,2,5,,,,,,,,,,,,,
417,Finance,2,6,,,,,,,,,,,,,
418,Finance,3,6,,,,,,,,,,,,,
419,Énergie,2,4,,,,,,,,,,,,,
420,Automobile,2,3,,,,,,,,,,,,,
421,Automobile,3,6,,,,,,,,,,,,,
